"code","name","name_eng","base_year","C행정구역별_읍면동","행정구역별_읍면동","시점","총인구_명","남자_명","여자_명","내국인_계_명","내국인_남자_명","내국인_여자_명","외국인_계_명","외국인_남자_명","외국인_여자_명","가구_계_가구","일반가구_가구","집단가구_가구","외국인가구_가구","주택_계_호","단독주택_호","아파트_호","연립주택_호","다세대주택_호","비거주용_건물내_주택_호","주택이외의_거처_호"
"37090","문경시","Mungyeong-si","2010","37090"," 문경시",2010,69021,33316,35705,68692,33180,35512,329,136,193,28338,28223,44,71,27839,19622,5706,1310,512,689,164
"37080","상주시","Sangju-si","2010","37080"," 상주시",2010,98103,47403,50700,97559,47192,50367,544,211,333,41142,40983,66,93,40380,30245,8055,488,1002,590,247
"37070","영천시","Yeongcheon-si","2010","37070"," 영천시",2010,95256,47052,48204,94350,46401,47949,906,651,255,38356,38086,74,196,39301,24024,13139,810,779,549,259
"37060","영주시","Yeongju-si","2010","37060"," 영주시",2010,108888,53692,55196,108268,53447,54821,620,245,375,41828,41701,50,77,39293,22475,13885,2054,139,740,194
"37050","구미시","Gumi-si","2010","37050"," 구미시",2010,402607,207089,195518,399019,205107,193912,3588,1982,1606,147063,145331,331,1401,119302,25745,84946,2688,4594,1329,512
"37040","안동시","Andong-si","2010","37040"," 안동시",2010,166197,81055,85142,165399,80758,84641,798,297,501,64660,64361,100,199,60441,31819,25625,1552,369,1076,399
"37030","김천시","Gimcheon-si","2010","37030"," 김천시",2010,127889,62390,65499,126823,61842,64981,1066,548,518,49108,48843,127,138,48208,27811,18110,782,501,1004,334
"37020","경주시","Gyeongju-si","2010","37020"," 경주시",2010,256150,127642,128508,252750,125267,127483,3400,2375,1025,100333,99125,216,992,92529,45892,37779,2099,5340,1419,916
"37012","북구","Buk-gu","2010","37012"," 북구",2010,258862,128928,129934,257678,128383,129295,1184,545,639,93548,93208,86,254,88348,23155,57915,2563,3348,1367,362
"37011","남구","Nam-gu","2010","37011"," 남구",2010,252528,131196,121332,251058,130327,120731,1470,869,601,94072,93506,73,493,80413,26252,42666,3131,7043,1321,446
"36480","신안군","Sinan-gun","2010","36480"," 신안군",2010,33222,16225,16997,32987,16115,16872,235,110,125,16166,16114,41,11,17631,17323,40,59,16,193,131
